	est.beta	est.upper	est.lower	alpha	beta
157	5.958767859	6.374154713	5.543381	5.00E-01	paste(beta[5])
158	-0.015364422	-0.003276015	-0.02745283	5.00E-01	paste(beta[6])
159	-2.646664885	-2.127045897	-3.16628387	5.00E-01	paste(beta[7])
160	-0.654405616	-0.115595521	-1.19321571	5.00E-01	paste(beta[8])
161	10.51997389	10.80975604	10.23019175	1.00E+00	paste(beta[1])
162	2.057652001	2.202662689	1.91264131	1.00E+00	paste(beta[2])
163	-0.505399993	-0.123081553	-0.88771843	1.00E+00	paste(beta[3])
164	0.046597039	0.455167721	-0.36197364	1.00E+00	paste(beta[4])
165	5.938249206	6.353185938	5.52331247	1.00E+00	paste(beta[5])
166	-0.016062327	-0.003957302	-0.02816735	1.00E+00	paste(beta[6])
167	-2.653872952	-2.134907239	-3.17283866	1.00E+00	paste(beta[7])
168	-0.669140169	-0.130815244	-1.20746509	1.00E+00	paste(beta[8])
169	10.46028566	10.74955024	10.17102109	2.00E+00	paste(beta[1])
170	2.066554508	2.212607194	1.92050182	2.00E+00	paste(beta[2])
171	-0.548598456	-0.167142831	-0.93005408	2.00E+00	paste(beta[3])
172	0.004847832	0.412296651	-0.40260099	2.00E+00	paste(beta[4])
173	5.955954014	6.370797693	5.54111033	2.00E+00	paste(beta[5])
174	-0.014216924	-0.002122386	-0.02631146	2.00E+00	paste(beta[6])
175	-2.686688743	-2.165279718	-3.20809777	2.00E+00	paste(beta[7])
176	-0.650821824	-0.111369569	-1.19027408	2.00E+00	paste(beta[8])
177	10.49899412	10.78827338	10.20971486	4.00E+00	paste(beta[1])
178	2.085187481	2.231120583	1.93925438	4.00E+00	paste(beta[2])
179	-0.558314294	-0.176286986	-0.9403416	4.00E+00	paste(beta[3])
180	0.040771519	0.448483769	-0.36694073	4.00E+00	paste(beta[4])
181	5.951393607	6.365759734	5.53702748	4.00E+00	paste(beta[5])
182	-0.015483077	-0.003415086	-0.02755107	4.00E+00	paste(beta[6])
183	-2.657737095	-2.138664645	-3.17680955	4.00E+00	paste(beta[7])
184	-0.667105152	-0.129096442	-1.20511386	4.00E+00	paste(beta[8])
185	10.46028566	10.74955024	10.17102109	6.00E+00	paste(beta[1])
186	2.066554508	2.212607194	1.92050182	6.00E+00	paste(beta[2])
187	-0.548598456	-0.167142831	-0.93005408	6.00E+00	paste(beta[3])
188	0.004847832	0.412296651	-0.40260099	6.00E+00	paste(beta[4])
189	5.955954014	6.370797693	5.54111033	6.00E+00	paste(beta[5])
190	-0.014216924	-0.002122386	-0.02631146	6.00E+00	paste(beta[6])
191	-2.686688743	-2.165279718	-3.20809777	6.00E+00	paste(beta[7])
192	-0.650821824	-0.111369569	-1.19027408	6.00E+00	paste(beta[8])
